"GCAM_region_ID","GCAM_commodity","year","HA_kHa_rainfed","Prod_kt_rainfed","HA_kHa_irrigated","Prod_kt_irrigated","HA_kHa","Prod_kt","Yield_tHa_rainfed","Yield_tHa_irrigated","Yield_tHa"
11,"PalmFruit",2030,16428,94959,0,0,16428,94959,5.78031409788167,NA,5.78031409788167
12,"PalmFruit",2030,0,0,0,0,0,0,NA,NA,NA
13,"PalmFruit",2030,0,0,0,0,0,0,NA,NA,NA
14,"PalmFruit",2030,2332,13724,0,0,2332,13724,5.88507718696398,NA,5.88507718696398
1,"Rice",2030,0,0,1188,9599,1188,9599,NA,8.07996632996633,8.07996632996633
2,"Rice",2030,0,0,0,0,0,0,NA,NA,NA
3,"Rice",2030,0,0,388,2724,388,2724,NA,7.02061855670103,7.02061855670103
4,"Rice",2030,0,0,1303,8890,1303,8890,NA,6.82271680736761,6.82271680736761
5,"Rice",2030,0,0,178,1621,178,1621,NA,9.1067415730337,9.1067415730337
6,"Rice",2030,0,0,420,1823,420,1823,NA,4.34047619047619,4.34047619047619
7,"Rice",2030,5718,18453,36729,233433,42448,251887,3.22717733473242,6.35555011026709,5.93401338107802
8,"Rice",2030,0,0,760,4328,760,4328,NA,5.69473684210526,5.69473684210526
9,"Rice",2030,7930,16788,2783,18513,10713,35303,2.11702395964691,6.65217391304348,3.29534210771959
10,"Rice",2030,1759,6030,3992,28753,5750,34784,3.42808413871518,7.20265531062124,6.04939130434783
11,"Rice",2030,18961,66213,29962,163282,48922,229495,3.49206265492326,5.44963620586076,4.69103879645149
12,"Rice",2030,0,0,31,138,31,138,NA,4.45161290322581,4.45161290322581
13,"Rice",2030,268,1042,662,4748,930,5790,3.88805970149254,7.17220543806646,6.2258064516129
14,"Rice",2030,23221,63144,19934,104856,43156,168000,2.71926273631627,5.26015852312632,3.89285383260729
1,"Root_Tuber",2030,122,3593,512,23684,634,27276,29.4508196721311,46.2578125,43.0220820189274
2,"Root_Tuber",2030,89,2395,75,3663,164,6058,26.9101123595506,48.84,36.9390243902439
3,"Root_Tuber",2030,2006,64117,388,18181,2393,82299,31.9626121635095,46.8582474226804,34.3915587129127
4,"Root_Tuber",2030,73,2026,31,1320,104,3347,27.7534246575342,42.5806451612903,32.1826923076923
5,"Root_Tuber",2030,17,542,37,1689,53,2231,31.8823529411765,45.6486486486486,42.0943396226415
6,"Root_Tuber",2030,1468,27540,444,9808,1913,37348,18.7602179836512,22.0900900900901,19.5232618923157
7,"Root_Tuber",2030,10687,208857,1481,36727,12167,245584,19.5430897351923,24.7987846049966,20.1844333031972
8,"Root_Tuber",2030,13,227,365,10481,378,10707,17.4615384615385,28.7150684931507,28.3253968253968
9,"Root_Tuber",2030,25741,285301,388,10761,26127,296064,11.0835243386038,27.7345360824742,11.3317258008956
10,"Root_Tuber",2030,3645,57835,348,9666,3994,67502,15.8669410150892,27.7758620689655,16.9008512769154
11,"Root_Tuber",2030,3378,67645,522,12493,3901,80141,20.0251628182356,23.9329501915709,20.5437067418611
12,"Root_Tuber",2030,1966,29751,43,1000,2009,30751,15.1327568667345,23.2558139534884,15.3066202090592
13,"Root_Tuber",2030,10,227,29,1007,39,1234,22.7,34.7241379310345,31.6410256410256
14,"Root_Tuber",2030,616,15287,1588,40924,2204,56211,24.8165584415584,25.7707808564232,25.5040834845735
1,"SugarCrop",2030,306,17274,510,43583,816,60857,56.4509803921569,85.456862745098,74.579656862745
2,"SugarCrop",2030,6,296,6,386,12,682,49.3333333333333,64.3333333333333,56.8333333333333
